problem_name,count
Veins are responsible for returning oxygen-poor blood back to the heart.,43
What can the average speed formula calculate if speed and time are known?,43
What causes movement at a joint?,43
What is necessary to identify a chemical equation as balanced?,43
What is the result of a chemical change?,43
Which layer of the skin is the outermost?,43
Elements in the fifth period have five electron shells.,42
How are skeletal muscles attached to bones?,42
How many parents are required for sexual reproduction?,42
Igneous rocks form when magma or lava _____ and solidifies.,42
Intrusive igneous rocks form inside the Earth's crust from cooled magma.,42
Metamorphic rocks can exhibit either foliated or non-foliated textures.,42
Name an example of a metalloid.,42
Nuclear power plants contribute to air pollution by emitting greenhouse gases during electricity production.,42
Reactants undergo a chemical change to form _____.,42
The Antarctic Plate is predominantly covered by the _____ ice sheet.,42
The _____ system helps in maintaining the body's fluid balance.,42
The release of heat during a reaction always signifies a physical change.,42
"The trachea connects the larynx to the _____, allowing air to pass between them.",42
Transition metals in groups 3-12 follow the group number rule for valence electrons.,42
What does the cardiovascular system deliver to body cells?,42
What is the primary function of white blood cells?,42
What makes nuclear waste management critical?,42
What shape is the diaphragm?,42
What terms classify igneous rocks by cooling location?,42
Do transition metals in groups 3-12 follow the same rule for valence electrons as other groups?,41
How can homeostasis be disrupted?,41
How is distance calculated using speed and time?,41
"In chemical formulas, zero subscripts outside of parentheses should be factored into calculations.",41
Metalloids are found to the left of the stair-step line on the periodic table.,41
Metamorphic rocks are formed by the evaporation of mineral-rich water.,41
Metamorphic rocks form in _____ regions due to high pressure and heat.,41
Neutrons are found in the electron cloud of an atom.,41
Pangea was a supercontinent that existed approximately _____ million years ago.,41
Reactants are found after the yield sign in a chemical equation.,41
"Sedimentary rocks form through processes like weathering, erosion, deposition, _____, and cementation.",41
The Nervous System includes the _____ and peripheral systems.,41
The _____ is the control center of the Nervous System.,41
The atomic number of an element is determined by its number of _____.,41
The atomic number of an element is determined by its number of electrons.,41
The heart is the pump of the cardiovascular system.,41
"The risk of nuclear accidents is _____, but impacts can be significant.",41
Transition metals in groups 3-12 do not follow the _____ rule for valence electrons.,41
What allows nerves to pass signals across synapses?,41
What determines an atom's ability to bond with other atoms?,41
What do sensory neurons detect?,41
What do sensory neurons do?,41
What is the formula to calculate time?,41
What makes nuclear power reliable for electricity production?,41
What might an increased white blood cell count indicate?,41
What role does the cardiovascular system play in temperature regulation?,41
When did Pangea exist?,41
"When the distance traveled by an object remains constant, how does the time required to travel that distance relate to the speed of the object?",41
Where does digestion begin?,41
Where on the periodic table can metalloids be found?,41
Why does an unexpected color change indicate a chemical reaction?,41
All metamorphic rocks have similar characteristics regardless of the metamorphism degree.,40
Compaction involves reducing the volume of sediment.,40
Compaction reduces the _____ of sediment.,40
Do transition metals in groups 3-12 follow the group number rule for valence electrons?,40
"During metamorphism, the original rock does not melt.",40
"For accurate time calculation, the units of speed and distance must _____.",40
How can the number of neutrons in an atom be calculated?,40
How does the nervous system contribute to homeostasis?,40
Igneous rocks form from the cooling and solidification of _____ or lava.,40
Igneous rocks found beneath the Earth's surface are called _____ rocks.,40
"In a chemical equation, where are the products listed?",40
"In the nucleus, along with protons, _____ contribute to the atom's mass.",40
"Metals can be easily shattered into pieces when force is applied, making them unsuitable for industrial shaping.",40
Nuclear waste is dangerous due to its _____.,40
Platelets play a key role in blood _____.,40
Red blood cells are responsible for transporting oxygen and carbon dioxide in the body.,40
Sedimentary rocks often contain fossils because they form from accumulated _____.,40
The cardiovascular system's main function is to circulate _____ throughout the body.,40
The cardiovascular system's main function is to produce blood cells.,40
The main function of the nervous system is to coordinate body activities.,40
The nervous system processes information it receives from sensory organs.,40
"Uranium, the fuel for nuclear power, is expected to be available indefinitely.",40
Weathering breaks down rocks into smaller _____.,40
What condition about speed must be met for time calculation to be accurate?,40
What does bubbling signify in a chemical reaction?,40
What does the bladder store?,40
What electrons determine an atom's bonding capabilities?,40
What happens to reactants in a chemical reaction?,40
What is the formula to calculate distance when you know speed and time?,40
What role do platelets play in the blood?,40
What role does the nervous system play after processing information?,40
What role does the nervous system play in breathing?,40
What type of igneous rocks form beneath the Earth's surface?,40
Where within an atom can protons be found?,40
Which sequence correctly outlines the formation of sedimentary rocks?,40
Wind turbines are cheap to install.,40
A balanced chemical equation has the same number of each type of _____ on both sides.,39
An atom is stable only if it has more than eight electrons in its outer shell.,39
Balanced forces cause an object in motion to accelerate.,39
Describe how sedimentary rocks appear at the Earth's surface.,39
Emitting light during a chemical reaction is evidence of a chemical change.,39
Formation of gas _____ in a liquid is often a sign of a chemical change.,39
Give an example of a chemical change.,39
How do nerves transmit information throughout the body?,39
How does the lymphatic system support the immune system?,39
How does the nervous system help the body adapt to changes in the environment?,39
How is blood type determined?,39
How many electron shells are in elements of the fifth period?,39
How many electron shells do elements in the fifth period have?,39
How many valence electrons do elements in group 17 have?,39
"In metamorphism, the original rock undergoes transformation without _____",39
Information is transmitted throughout the body by _____.,39
Metals can be drawn into wires due to their _____.,39
Nuclear power can produce electricity _____.,39
Odor changes during a reaction always suggest a chemical change.,39
Oxygen taken in by the respiratory system is used for cellular respiration.,39
Painting wood changes its chemical composition.,39
Sedimentary rocks are typically found floating in the ocean.,39
"The average speed formula only calculates speed, not distance.",39
The cardiovascular system helps regulate body _____ through blood flow.,39
The last shell of an atom holds the _____ electrons necessary for chemical bonding.,39
The lymphatic system's primary role is absorbing fats from food consumed.,39
The respiratory system is primarily responsible for maintaining the body's fluid balance.,39
The substances that initiate a chemical reaction and are found before the yield sign are called _____.,39
The synapse is the gap where signal transmission between neurons occurs.,39
The type of metamorphic rock formed is influenced by the original _____ of the rock.,39
"Unbalanced forces can make an object _____, slow down, or change direction.",39
Unbalanced forces result in _____ or deceleration.,39
Units of speed and distance can differ when calculating time.,39
What conditions are necessary for the formation of metamorphic rocks?,39
What determines the color of light?,39
What determines the type of metamorphic rock formed?,39
What does a temperature change without external heating or cooling suggest?,39
What does the Excretory system produce?,39
What does the analysis of a chemical equation show about reactants and products?,39
What happens during deposition in the sedimentary rock formation process?,39
What is an environmental advantage of nuclear power plants?,39
What is deposition?,39
What makes metals ideal for manufacturing tools and machinery?,39
What primarily triggers the urge to breathe?,39
Which gases are exchanged in the respiratory system?,39
Which two systems collaborate to maintain homeostasis in the body?,39
Why are nuclear power plants considered environmentally friendly in terms of air quality?,39
Why are nuclear power plants economically viable in the long term?,39
Why do tectonic plates move?,39
Why do unexpected substances after a reaction indicate a chemical change?,39
Why must speed be recalculated when the units of distance or time change?,39
"With a constant distance, time and speed are _____ proportional.",39
A change in _____ suggests a new substance may have formed.,38
A compound consists of two or more elements _____ bonded together.,38
Balanced forces on an object result in a net force of zero.,38
Deposition is the process of sediment settling in new _____.,38
Describe the cost structure of geothermal energy plants.,38
Diseases affecting the nervous system can disrupt homeostasis.,38
Erosion transports sediment to new _____.,38
Forces have both magnitude and _____.,38
How are sedimentary rocks typically found at the Earth's surface?,38
How can products be identified in a chemical equation?,38
How do balanced forces affect an object in motion?,38
How do you determine if a chemical equation is balanced?,38
How does painting wood represent a physical change?,38
How does the direction of net force affect an object?,38
How does the lymphatic system aid in nutrition?,38
Igneous rocks are commonly found near volcanic areas due to their formation from cooled magma or lava.,38
Igneous rocks are often found near _____ areas.,38
Igneous rocks with large crystals are a result of magma cooling quickly.,38
"In terms of electricity, non-metals are considered poor _____.",38
Metals are used in industrial applications because they can be shaped due to their ________ and ductility.,38
Muscles that we can control consciously are called _____ muscles.,38
Nerves transmit signals primarily through sound waves.,38
Neutrons do not contribute to the atomic mass since they have no charge.,38
Slowly cooled magma forms igneous rocks with _____ crystals.,38
The _____ determines an object's motion.,38
The formula for speed is speed = distance / _____.,38
The nervous system is only involved in controlling voluntary actions.,38
The sliding motion of plates at transform boundaries can lead to the occurrence of _____,38
Valence electrons influence an atom's chemical _____,38
What do arteries transport away from the heart?,38
What does a chemical equation reveal about reactants and products?,38
What does a color change in a mixture indicate?,38
What does an odor change during a reaction suggest?,38
What does net force direction determine?,38
What does the nervous system detect to help maintain homeostasis?,38
What is a key advantage of nuclear power in terms of electricity production?,38
What is a sustainability concern with nuclear power?,38
What is altered in a chemical change?,38
What is the primary function of red blood cells?,38
What is unique about metalloids in terms of their properties?,38
What makes an atom stable?,38
What role do motor neurons play?,38
Which law is demonstrated by a balanced chemical equation?,38
Which of the following is an example of a physical change?,38
Which property do metalloids share with metals?,38
Which system assists the nervous system in movement control?,38
Why is dissolving sugar in water classified as a physical change?,38
An atom is more stable when its outer shell of valence electrons is full.,37
Blood vessels distribute _____ throughout the body.,37
Carbon dioxide is a waste product expelled by the _____ system.,37
Describe how the number of electron shells in an element changes as you move down the periods.,37
Elements are listed in the periodic _____.,37
Extrusive igneous rocks form from lava that cools on the Earth's _____.,37
Geothermal energy plants typically have _____ emissions compared to fossil fuels.,37
Homeostasis can be disrupted by diseases affecting the _____ system.,37
How do balanced forces affect a moving object's speed?,37
How is information transmitted throughout the body?,37
How many electron shells do elements in the third period possess?,37
"If the net force on an object is directed to the right, the object will move to the right.",37
"In identifying a balanced equation, subscripts may be adjusted to compare the total mass of reactants and products.",37
Metalloids are located on the _____ line of the periodic table.,37
"Metalloids can have good _____ under certain conditions, a property they share with metals.",37
"Metals generally have low boiling and melting points, making them unsuitable for high-temperature applications.",37
"Metals have a _____ appearance, indicating they are shiny.",37
Metamorphic rocks form from pre-existing rocks that change due to intense _____ and pressure.,37
Metamorphic rocks only form near the Earth's surface.,37
Nerves transmit signals through electrical _____.,37
Neutrons are located in the _____ of an atom.,37
Nuclear power plants have high _____ costs but low operating costs.,37
Radiation can transfer heat even in the vacuum of space.,37
The Urinary System plays a role in maintaining electrolyte balance in the body.,37
The cardiovascular system directly converts waste into useful nutrients.,37
The formation of bubbles indicates the _____ of a gas.,37
The heart is the primary organ for filtering blood in the Excretory system.,37
The lymphatic system's primary function is to regulate body temperature.,37
The production of a precipitate is a sign of a chemical change.,37
The rusting of iron is not a chemical change because it does not produce a new substance.,37
Time = _____ / Speed,37
Unbalanced forces cause an object to _____ or change its motion.,37
Valence electrons in the last shell influence an atom's chemical reactivity.,37
What determines the characteristics of metamorphic rocks?,37
What do parentheses in chemical formulas indicate?,37
What does a distance over time graph show?,37
What does bubbling during a reaction typically indicate?,37
What does the chemical formula of a compound indicate about its composition?,37
What influences an element's reactivity?,37
What is the heart's role in the cardiovascular system?,37
What is the main function of the nervous system?,37
What is the main role of red blood cells?,37
What is the outermost layer of the skin called?,37
What method do nerves use to transmit signals?,37
What process is vital for metamorphic rocks to become igneous rocks?,37
What role does the heart play in the cardiovascular system?,37
What role does the lymphatic system play in nutrition?,37
What substances are found in lymphatic fluid?,37
What types of textures can metamorphic rocks have?,37
When are atoms considered to be most stable?,37
Where in a chemical equation are products listed?,37
Which organ is responsible for pumping blood throughout the body?,37
Why are atoms with a full outer shell stable?,37
Why do the units of speed and distance need to match when calculating time?,37
_____ wood is an example of a chemical change.,37
A balanced chemical equation shows equal numbers of each type of _____ on both sides of the equation.,36
A force is described by its magnitude and direction.,36
An increase in temperature is a common sign of a new substance being formed in a reaction.,36
"As you move down the periods in the periodic table, the number of electron shells in an element _____.",36
At what depth do metamorphic rocks form?,36
Balanced forces can start or stop an object's motion.,36
"Breaking chalk alters its _____ and shape, indicating a physical change.",36
Cementation heats sediment into magma.,36
"Change in energy (heat, light, sound) indicates a _____ change.",36
"Compared to fossil fuels, how do geothermal energy plants impact the environment?",36
Define average speed.,36
Define malleability in the context of metals.,36
Deposition involves sediment settling in new locations.,36
Electrons have a negative charge.,36
Elements are randomly organized in scientific literature.,36
Explain how a larger coefficient affects the total number of atoms in a molecule.,36
Explain why variations in speed during a trip do not affect the calculation of average speed.,36
"For geothermal energy to be viable, it requires proximity to _____.",36
Freezing water into ice results in a new chemical substance.,36
Geothermal energy is considered renewable because it is derived from the Earth's _____ heat.,36
Homeostasis involves both the _____ and endocrine systems.,36
How are sedimentary rocks formed from metamorphic rocks?,36
How can diseases affect homeostasis?,36
How do atoms achieve a full outer shell?,36
How do nerves pass signals across synapses?,36
How do nerves transmit signals?,36
How does the Excretory system contribute to maintaining homeostasis?,36
How does the composition of exhaled air compare to inhaled air?,36
How many valence electrons does an element in group 17 have?,36
"In a chemical equation, where are reactants typically found?",36
"In a tug of war where both teams are pulling with equal force and the rope does not move, are the forces involved balanced or unbalanced?",36
"In chemical equations, the substances listed after the yield sign are known as products.",36
"In chemical formulas, zero subscripts outside parentheses are _____ in calculations.",36
Intrusive igneous rocks form _____ the Earth's crust.,36
Lungs are the main organs responsible for the respiratory system's function.,36
Maintaining homeostasis involves both the nervous and endocrine systems.,36
"Melting ice represents a physical change because it only changes form from solid to liquid, not its chemical structure.",36
Metamorphic rocks are formed from the transformation of pre-existing rocks under high heat and pressure.,36
Nerves filter blood within the Nervous System.,36
Nitrogen is inhaled and oxygen is exhaled during breathing.,36
"Non-metals have a _____ appearance, reflecting little light.",36
Reactants undergo a change to form products in a chemical reaction.,36
Rocks can only transform into different types by breaking into smaller pieces.,36
Sensory neurons are crucial for detecting _____ stimuli and communicating with the brain.,36
"Shredding paper changes its size and shape, not its chemical _____.",36
Sweat is the primary substance produced by the Excretory system's filtration process.,36
The 'electron cloud' is a term used to describe the space where electrons exist around an atom's nucleus.,36
The _____ plays a key role in breathing.,36
The atomic number equals the number of _____ in an atom.,36
The cardiovascular system delivers oxygen and nutrients to body cells.,36
The cardiovascular system helps in regulating body temperature.,36
The formula for calculating time is speed multiplied by distance.,36
The kidneys are responsible for _____ blood and removing waste.,36
The nervous system helps the body adapt to environmental changes by processing _____ information.,36
The nervous system includes the _____ and spinal cord.,36
The nervous system relies on sensory information to help the body adapt to changes in the environment.,36
The nervous system's primary function is to _____ sensory information and coordinate responses.,36
The texture of igneous rocks is affected by the rate of _____ it cools.,36
The yield sign lists all the catalysts needed for the chemical reaction.,36
Veins return oxygen-poor blood back to the _____.,36
What are the substances called that are listed after the yield sign in a chemical equation?,36
What are the two main textures of metamorphic rocks?,36
What determines a person's blood type?,36
What do reactants form after undergoing a chemical change?,36
What do white blood cells do?,36
What does a distance/time graph illustrate?,36
What effect do balanced forces have on an object already in motion?,36
What happens to reactivity across a period and why?,36
What happens when vinegar and baking soda are mixed?,36
What indicates a rock is metamorphic?,36
What is a potential environmental drawback of geothermal energy production?,36
What is required of the speed when calculating time?,36
What is the function of ureters in the Excretory system?,36
What is the primary process behind the formation of sedimentary rocks?,36
What is the purpose of oxygen intake in the respiratory system?,36
What role do nerves play?,36
What triggers the urge to breathe?,36
"When forces are _____, an object?s motion does not change.",36
Where are igneous rocks primarily found?,36
Which of the following is a characteristic that metalloids share with metals?,36
Which property of metals allows them to be drawn into wires?,36
Why are metals suitable for high-temperature applications?,36
Why can radiation transfer heat in space?,36
Why is melting ice considered a physical change?,36
Why is the interaction between the circulatory and nervous systems important for the brain?,36
Wind turbines are designed to protect wildlife.,36
A _____ outside the parentheses in a chemical formula applies to each atom inside the parentheses.,35
A color change in a substance often signifies a _____ change.,35
A positive net force moves an object in the _____ of the force.,35
A precipitate forms only during physical changes in liquid reactions.,35
An atom with a partially filled outer shell is considered to be at its most stable state.,35
Atoms achieve maximum stability when their _____ shell is full.,35
Chemical changes alter the _____ structure of substances.,35
Chemical changes can produce new substances that have properties different from those of the original substances.,35
Chemical equations reveal the transformation of _____ to products.,35
Define net force.,35
"Despite its position, ______ is not considered a metal.",35
Do neutrons carry an electric charge?,35
"During breathing, oxygen is _____ and carbon dioxide is exhaled.",35
Electrons in the last shell are called _____ electrons.,35
Elements in group 17 have 7 valence electrons.,35
Elements in group 17 have _____ valence electrons.,35
Elements in the third period have _____ electron shells.,35
Explain why metamorphic rocks are commonly found in mountainous regions.,35
Explain why non-metals do not reflect light well.,35
"For accurate time calculations, speed must be _____.",35
Geothermal energy can cause _____ if not managed properly.,35
Hemoglobin is responsible for the oxygen transport capability of red blood cells.,35
How are elements in a compound combined?,35
How are extrusive igneous rocks formed?,35
How do geothermal energy plants' emissions compare to fossil fuels?,35
How do rocks transform into different types?,35
How does the lymphatic system contribute to tissue health?,35
How does the number of electron shells in an element change as you move down the periods in the periodic table?,35
"If you increase the speed while keeping distance traveled the same, the time required to travel increases.",35
Igneous rocks form from cooled _____ or lava.,35
"In a chemical equation, products are listed _____ the yield sign.",35
"In a chemical equation, reactants are found _____ the yield sign.",35
"In chemical formula calculations, how should zero subscripts located outside parentheses be treated?",35
Kidneys store excess water to regulate the body's fluid balance.,35
Metalloids share properties of both _____ and non-metals.,35
Name two main components of the nervous system.,35
Net force is calculated by adding forces in the same direction and subtracting those in the opposite direction.,35
Non-metals are used in various applications as _____ due to their inability to conduct electricity.,35
"One of the key properties of metals is their high _____ points, crucial for high-temperature applications.",35
"Physical changes alter the _____ of a substance, not its chemical structure.",35
Platelets are primarily involved in the transport of nutrients within the blood.,35
Protons have a _____ electrical charge.,35
Radiation transfers heat through electromagnetic _____ without needing a medium.,35
Sedimentary rocks are more likely to contain fossils than other rock types.,35
"Sedimentary rocks form through weathering, erosion, deposition, compaction, and cementation.",35
Sensory neurons transmit information from the body to the _____.,35
Temperature changes without external _____ or cooling suggest a chemical change.,35
The appearance of bubbles in a chemical reaction usually signifies the production of a gas.,35
The cardiovascular system aids in transporting metabolic wastes to the _____ for elimination.,35
The cardiovascular system includes the heart and a network of _____ vessels.,35
The mass number equals the total number of protons and electrons in an atom.,35
The nervous system helps to regulate breathing through the _____ system.,35
The nervous system maintains homeostasis by absorbing nutrients.,35
"The smallest blood vessels, vital for the exchange of gases and nutrients between blood and tissues, are called _____.",35
"To maintain homeostasis, the nervous system works together with the _____ system.",35
Vesicles are a key indicator of metamorphic rocks.,35
Water (H2O) is made of hydrogen and _____.,35
"Weathering breaks down rocks into smaller _____, starting their transformation into sedimentary rocks.",35
What are igneous rocks called when found beneath the Earth's surface?,35
What do changes in odor during a reaction most likely indicate?,35
What do melanocytes produce?,35
What do parentheses in a chemical formula signify?,35
What does a balanced chemical equation demonstrate?,35
What does a color change in a reaction indicate?,35
What does an element's period number indicate?,35
What does homeostasis do in the body?,35
What does the conservation of mass imply in a chemical reaction?,35
What does the development of a new odor in a reaction mixture suggest?,35
What does the group number indicate for elements in specific groups?,35
What does the presence of unexpected substances after a reaction indicate?,35
What electrons are necessary for chemical bonding?,35
What influences an atom's chemical reactivity?,35
What is required for convection to occur?,35
What is the primary function of the lungs?,35
What kinds of actions does the nervous system control?,35
What makes metalloids unique in terms of properties?,35
What muscle is essential for breathing?,35
What must be considered when calculating an object's net force?,35
What new substance is produced by mixing vinegar and baking soda?,35
What types of actions does the nervous system control?,35
"When water is heated on a stove, it demonstrates the process of _____.",35
Where are elements listed?,35
Which body system maintains fluid balance?,35
Which characteristic determines the identity of an element?,35
Which of the following is an example of a chemical change?,35
Which statement is true about white blood cells?,35
Which subatomic particle carries no electric charge?,35
Which subatomic particle contributes to an atom's mass without carrying a charge?,35
Which system's feedback mechanisms are crucial for homeostasis?,35
Why do sedimentary rocks often contain fossils?,35
Why is geothermal energy considered renewable?,35
Why is geothermal energy not available in all locations?,35
A balanced chemical equation indicates a change in the total number of atoms during a reaction.,34
A change in _____ indicates a chemical change has occurred.,34
A change in _____ often indicates a chemical reaction has occurred.,34
A chemical change results in the formation of _____ or more new substances.,34
A moving object's speed changes under the influence of balanced forces.,34
A temperature change without an external heat source indicates a _____ change.,34
"After processing information, the nervous system guides the body to respond accordingly.",34
All igneous rocks are formed on the Earth's surface.,34
An atom's bonding capability is determined by its core electrons.,34
An atom's total number of electrons determines its bonding potential.,34
"At convergent oceanic to oceanic plate boundaries, _____ are formed.",34
Balanced forces result in a net force of _____.,34
Blood type is determined by the presence of specific _____ on red blood cells.,34
Blood vessels distribute blood throughout the body.,34
Breaking a piece of chalk demonstrates what kind of change?,34
Elements in the fifth period have _____ electron shells.,34
Explain why hydrogen is an exception to the general rule for metal location on the periodic table.,34
Explain why igneous rocks are commonly found near volcanic areas.,34
"For the formula time = distance / speed to be accurate, how must the speed be?",34
Gas exchange occurs in the arteries.,34
Geothermal energy production can lead to the release of _____ gases.,34
How are igneous rocks classified based on the cooling location of magma?,34
How can you identify reactants in a chemical equation?,34
How do bones protect the body?,34
How do you calculate the total number of atoms for elements within parentheses in a chemical formula?,34
How does physical activity affect breathing rate?,34
How does the nervous system contribute to the body's response to external stimuli?,34
How does the production of a precipitate indicate a chemical change?,34
How should zero subscripts outside parentheses be treated in chemical formula calculations?,34
"If the units of distance or time are altered, you must _____ speed to maintain accuracy.",34
"If you change the units of distance or time, it is not necessary to recalculate speed for accurate measurements.",34
"In a balanced chemical equation, how does the mass of reactants compare to the mass of products?",34
"In a chemical equation, what are the substances called that are found before the yield sign?",34
"In conduction, heat is transferred without direct contact.",34
"In convection, heat is transferred through the stationary positioning of warm and cool areas.",34
Increasing the coefficient in front of a molecule's formula does not change the total number of atoms in the molecule.,34
Metalloids are as efficient in conducting electricity as metals.,34
Metalloids can exhibit characteristics of both metals and non-metals.,34
Motor neurons carry signals from the brain to _____ and glands.,34
Non-metals are generally _____ and do not reflect light well.,34
Not all elements adjacent to the 'staircase' are classified as _____.,34
Nuclear power plants are risk-free and have no potential for accidents.,34
Oil usage enhances air quality.,34
Parentheses in chemical formulas indicate the atoms inside should be multiplied by the number _____ the parentheses.,34
Physical changes alter appearance without changing the substance's _____ .,34
Rocks transform into different types through the _____ cycle.,34
"Temperature equilibrium means objects have the same temperature, not that they are hot or cold.",34
The _____ are the primary organs of the respiratory system where gas exchange takes place.,34
The alveoli are the primary sites for gas exchange in the respiratory system.,34
The breathing rate decreases during physical activity.,34
The chemical formula of a compound tells us the physical state of the compound.,34
The direction of an object's motion is determined by the direction of the _____.,34
The lymphatic system absorbs _____ from the food we eat.,34
